Unnamed: 0,tgt_smi,origin_label,sub_change,src_smi,origin_pred_ESOL,opt_pred_ESOL,origin_pred_Mutagenicity,opt_pred_Mutagenicity,task_name,mode,origin_pred_lipop,opt_pred_lipop,origin_pred_BBBP,opt_pred_BBBP,cano_src_smi,cano_tgt_smi,group
310,O[c:1]1[cH:1][cH:1][cH:1][c:1]2[o:1][c:1]3[cH:1][c:1]4[c:1]([c:1](O)[c:1]3[c:1](=[O:1])[c:1]12)[CH:1]1[CH2:1][CH2:1][O:1][CH:1]1[O:1]4,0,*[OH:1]->*CCO,[O:0]=[N+:0]([O-:0])[c:1]1[c:1]2[c:1]([cH:1][c:1]3[o:1][c:1]4[cH:1][cH:1][cH:1][c:1]([CH2:0][CH2:0][OH:0])[c:1]4[c:1](=[O:1])[c:1]13)[O:1][CH:1]1[O:1][CH2:1][CH2:1][CH:1]21,-3.85015606880188,-4.562769889831543,0.3321115970611572,0.7329273819923401,Mutagenicity ESOL,higher,,,,,O=c1c2c(CCO)cccc2oc2cc3c(c([N+](=O)[O-])c12)C1CCOC1O3,O=c1c2c(O)cccc2oc2cc3c(c(O)c12)C1CCOC1O3,train
794,O[c:1]1[cH:1][c:1]([N:1]([CH2:1][CH3:1])[CH2:1][CH3:1])[cH:1][cH:1][c:1]1[N:1]=[O:1],0,*[CH3:0]->*OC,[CH3:0][O:0][c:1]1[cH:1][c:1]([N:1]([CH2:1][CH3:1])[CH2:1][CH3:1])[cH:1][cH:1][c:1]1[N:1]=[O:1],-2.184335470199585,-2.9990549087524414,0.3811507821083069,0.7504976391792297,Mutagenicity ESOL,higher,,,,,CCN(CC)c1ccc(N=O)c(OC)c1,CCN(CC)c1ccc(N=O)c(O)c1,train
838,O=[N+]([O-])[c:1]1[cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][cH:1][c:1]1S(=O)(=O)O,0,*[N+:1](=[O:1])[O-:1]->*C1CCCC1,[CH3:0][O:0][c:1]1[cH:1][cH:1][c:1]([N+:1](=[O:1])[O-:1])[cH:1][c:1]1[CH:0]1[CH2:0][CH2:0][CH2:0][CH2:0]1,-2.41279935836792,-4.472000598907471,0.393884003162384,0.9618552923202516,Mutagenicity ESOL,higher,,,,,COc1ccc([N+](=O)[O-])cc1C1CCCC1,O=[N+]([O-])c1ccc(S(=O)(=O)O)c([N+](=O)[O-])c1,train
893,O[CH:1]1[c:1]2[cH:1][cH:1][c:1]3[cH:1][c:1]4[c:1]5[c:1]([cH:1][cH:1][c:1]4[cH:1][c:1]3[c:1]2[CH:1]=[CH:1][CH:1]1[OH:1])[CH:1](O)[CH:1]([OH:1])[CH:1]=[CH:1]5,0,*[OH:1]->*C(F)F,[CH3:0][CH:1]1[c:1]2[cH:1][cH:1][c:1]3[cH:1][c:1]4[c:1]5[c:1]([cH:1][cH:1][c:1]4[cH:1][c:1]3[c:1]2[CH:1]=[CH:1][CH:1]1[OH:1])[CH:1]([CH:0]([F:0])[F:0])[CH:1]([OH:1])[CH:1]=[CH:1]5,-4.295956611633301,-5.692631244659424,0.4893574714660644,0.7781106233596802,Mutagenicity ESOL,higher,,,,,CC1c2ccc3cc4c5c(ccc4cc3c2C=CC1O)C(C(F)F)C(O)C=C5,OC1C=Cc2c(ccc3cc4c5c(ccc4cc23)C(O)C(O)C=C5)C1O,train
944,CC[O:1][P:1](=[S:1])([O:1][CH2:1][CH3:1])[O:1][c:1]1[cH:1][cH:1][c:1]([NH+:1](O)[O-:1])[cH:1][cH:1]1,0,*O->*C(C)C,[CH3:0][CH:0]([CH3:0])[NH+:1]([O-:1])[c:1]1[cH:1][cH:1][c:1]([O:1][P:1](=[S:1])([O:1][OH:0])[O:1][CH2:1][CH3:1])[cH:1][cH:1]1,-2.448093175888061,-3.066927909851074,0.4113660752773285,0.6653789281845093,Mutagenicity ESOL,higher,,,,,CCOP(=S)(OO)Oc1ccc([NH+]([O-])C(C)C)cc1,CCOP(=S)(OCC)Oc1ccc([NH+]([O-])O)cc1,train
953,O=C(O)[CH2:1][CH:1](C(=O)O)[NH2:1],0,*C(=O)O->*C,[CH3:0][CH:1]([NH2:1])[CH2:1][CH2:0][CH2:0][Cl:0],0.66939777135849,-1.229580640792847,0.0549526587128639,0.6177467703819275,Mutagenicity ESOL,higher,,,,,CC(N)CCCCl,NC(CC(=O)O)C(=O)O,train
2014,O[C@H:1]([CH3:1])[CH2:1][O:1][CH2:1][C@H:1](O)[CH3:1],0,*O->*N,[NH2:0][C@H:1]([CH3:1])[CH2:1][O:1][CH2:1][C@@H:1]([F:0])[CH3:1],0.6001021265983582,-0.3123858571052551,0.1338345557451248,0.7799396514892578,Mutagenicity ESOL,higher,,,,,C[C@H](F)COC[C@@H](C)N,C[C@@H](O)COC[C@@H](C)O,train
2441,O=C(O)[CH:1]1[O:1][CH:1]([O:1][c:1]2[cH:1][cH:1][cH:1][c:1]3[c:1]2[cH:1][c:1]2[cH:1][cH:1][c:1]4[cH:1][cH:1][cH:1][c:1]5[cH:1][cH:1][c:1]3[c:1]2[c:1]45)[CH:1](O)[CH:1]([OH:1])[CH:1]1[OH:1],0,*[OH:1]->*CC,[CH3:0][CH2:0][CH:1]1[CH:1]([O:1][c:1]2[cH:1][cH:1][cH:1][c:1]3[c:1]2[cH:1][c:1]2[cH:1][cH:1][c:1]4[cH:1][cH:1][cH:1][c:1]5[cH:1][cH:1][c:1]3[c:1]2[c:1]45)[O:1][CH:1]([NH2:0])[CH:1]([OH:1])[CH:1]1[OH:1],-4.2956624031066895,-5.937657356262207,0.1104674115777015,0.7388346791267395,Mutagenicity ESOL,higher,,,,,CCC1C(Oc2cccc3c2cc2ccc4cccc5ccc3c2c45)OC(N)C(O)C1O,O=C(O)C1OC(Oc2cccc3c2cc2ccc4cccc5ccc3c2c45)C(O)C(O)C1O,train
2659,N/[C:1](=[N:1]\[O:1]S(=O)(=O)O)[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,0,*N->*C,[CH3:0][O:0][O:1][N:1]=[C:1]([CH3:0])[c:1]1[cH:1][cH:1][cH:1][cH:1][cH:1]1,-1.3104702234268188,-1.913732886314392,0.0517303235828876,0.6067463159561157,Mutagenicity ESOL,higher,,,,,COON=C(C)c1ccccc1,N/C(=N\OS(=O)(=O)O)c1ccccc1,train
3606,O=C(O)[CH:1]([OH:1])[CH:1]([OH:1])[CH:1]([OH:1])[CH:1]([OH:1])[CH2:1]O,0,*O->*CCl,[N-:0]=[N+:0]=[N:0][CH:1]([OH:1])[CH:1]([OH:1])[CH:1]([OH:1])[CH:1]([OH:1])[CH2:1][CH2:0][Cl:0],0.9452739953994752,0.411508709192276,0.0251185148954391,0.801016628742218,Mutagenicity ESOL,higher,,,,,[N-]=[N+]=NC(O)C(O)C(O)C(O)CCCl,O=C(O)C(O)C(O)C(O)C(O)CO,train
